0.485,0,0.25,0,0,0,0,0,0,0,0,0,0
0.4832,0.0006,0.2487,-0.0438,0.0147,-0.006,-0.024,0.0418,0.0439,-0.0471,0.0146,-0.0178,0
0.4858,-0.0008,0.2514,-0.1438,0.0291,-0.012,-0.0479,0.1418,-0.0407,0.04,-0.0272,0.0265,0
0.4843,-0.0004,0.2502,-0.1953,0.0429,-0.018,-0.0712,0.1911,-0.0079,-0.0031,-0.0195,0.0085,0
0.4819,0.0001,0.2481,-0.2114,0.0565,-0.024,-0.0942,0.2058,0.046,-0.0778,-0.0051,-0.0267,0
0.4792,0.0007,0.2458,-0.2188,0.0702,-0.03,-0.1172,0.2122,0.1039,-0.1596,0.0104,-0.0661,0
0.4775,0.0131,0.2515,-0.2184,0.1702,-0.13,-0.0172,0.2152,0.4039,0.0848,0.3104,0.2339,0
0.4741,0.0167,0.2498,-0.2017,0.2702,-0.23,0.0828,0.1982,0.5487,0.0436,0.3998,0.2481,0
0.4711,0.0187,0.2479,-0.1957,0.3702,-0.33,0.1483,0.1914,0.6476,-0.0177,0.4506,0.2348,0
0.4683,0.0201,0.2458,-0.1912,0.4419,-0.43,0.1822,0.1859,0.7302,-0.0861,0.488,0.2118,0
0.4657,0.0212,0.2437,-0.1865,0.4981,-0.522,0.2002,0.1802,0.8031,-0.1576,0.5175,0.1836,0
0.4631,0.0222,0.2416,-0.1813,0.5455,-0.5955,0.2087,0.1738,0.8698,-0.2295,0.5426,0.1533,0
0.4606,0.023,0.2395,-0.1751,0.5876,-0.6574,0.2112,0.1664,0.9323,-0.2999,0.5654,0.1227,0
0.4583,0.0237,0.2375,-0.1678,0.6259,-0.711,0.2093,0.1578,0.9911,-0.3676,0.5863,0.0928,0
0.4561,0.0244,0.2356,-0.1587,0.6615,-0.7583,0.2039,0.1473,1.0459,-0.4314,0.6057,0.0644,0
0.4542,0.025,0.2339,-0.1473,0.6948,-0.8003,0.1958,0.1342,1.0955,-0.4894,0.6234,0.0383,0
0.4525,0.0255,0.2325,-0.132,0.7262,-0.8378,0.1851,0.1171,1.1381,-0.5389,0.6389,0.0159,0
0.4513,0.0259,0.2314,-0.1104,0.7561,-0.8714,0.1724,0.0932,1.1694,-0.5747,0.6509,-0.0006,0
0.451,0.0261,0.231,-0.0771,0.7847,-0.9015,0.1577,0.0569,1.18,-0.5862,0.6563,-0.0068,0
0.4525,0.0257,0.2321,-0.0186,0.812,-0.9283,0.1411,-0.0066,1.1449,-0.5469,0.6461,0.0075,0
0.4594,0.0232,0.2373,0.0814,0.8383,-0.9517,0.1225,-0.1066,0.9702,-0.368,0.5837,0.0741,0
0.4598,0.0168,0.2499,0.1814,0.8641,-0.9688,0.0986,-0.2066,0.6702,-0.068,0.2837,0.3625,0
0.4598,0.0232,0.2371,0.0814,0.8866,-0.9979,0.0907,-0.1066,0.9702,-0.368,0.5837,0.0625,0
0.4529,0.0289,0.227,-0.0186,0.9099,-1.0147,0.0694,-0.0066,1.2702,-0.668,0.7983,-0.0978,0
0.4437,0.0321,0.2199,-0.1089,0.9324,-1.0289,0.046,0.0896,1.5059,-0.9121,0.8855,-0.1933,0
0.4386,0.0335,0.2156,-0.1438,0.954,-1.042,0.0223,0.1262,1.6295,-1.0584,0.9261,-0.2568,0
0.4347,0.0344,0.2123,-0.1618,0.9746,-1.0537,-0.0018,0.1448,1.7202,-1.1723,0.9544,-0.3082,0
0.4314,0.0351,0.2095,-0.1727,0.9944,-1.064,-0.0263,0.1557,1.7967,-1.2717,0.9774,-0.354,0
0.4284,0.0358,0.2068,-0.1798,1.0134,-1.0728,-0.0514,0.1626,1.8655,-1.3631,0.9976,-0.3968,0
0.4256,0.0363,0.2043,-0.1847,1.0315,-1.0802,-0.077,0.1671,1.9295,-1.4495,1.016,-0.4377,0
0.4229,0.0368,0.2019,-0.1883,1.0489,-1.0861,-0.1031,0.1702,1.9902,-1.5327,1.0332,-0.4773,0
0.4203,0.0373,0.1996,-0.1909,1.0655,-1.0906,-0.1297,0.1723,2.0485,-1.6134,1.0494,-0.516,0
0.4178,0.0377,0.1974,-0.1929,1.0814,-1.0938,-0.1567,0.1737,2.1048,-1.6923,1.0649,-0.554,0
0.4154,0.0381,0.1951,-0.1944,1.0965,-1.0957,-0.1841,0.1745,2.1595,-1.7696,1.0797,-0.5915,0
0.4129,0.0384,0.193,-0.1955,1.1109,-1.0964,-0.2119,0.175,2.2129,-1.8456,1.094,-0.6284,0
0.4106,0.0388,0.1908,-0.1964,1.1245,-1.0958,-0.2401,0.1753,2.2651,-1.9205,1.1079,-0.665,0
0.4083,0.0391,0.1887,-0.197,1.1375,-1.094,-0.2686,0.1752,2.3162,-1.9944,1.1213,-0.7012,0
0.406,0.0394,0.1866,-0.1975,1.1496,-1.0911,-0.2973,0.175,2.3663,-2.0675,1.1342,-0.7371,0
0.4037,0.0397,0.1845,-0.1979,1.1611,-1.0871,-0.3264,0.1747,2.4155,-2.1397,1.1468,-0.7726,0
0.4015,0.04,0.1825,-0.1981,1.1719,-1.0821,-0.3556,0.1742,2.4639,-2.2111,1.1591,-0.8079,0
0.3993,0.0403,0.1805,-0.1982,1.1819,-1.076,-0.385,0.1737,2.5115,-2.2819,1.1709,-0.843,0
0.3971,0.0405,0.1785,-0.1983,1.1913,-1.0688,-0.4147,0.173,2.5582,-2.3519,1.1825,-0.8778,0
0.395,0.0407,0.1765,-0.1983,1.1999,-1.0608,-0.4444,0.1723,2.6043,-2.4213,1.1937,-0.9124,0
0.3914,0.0485,0.1763,-0.1968,1.1999,-0.9824,-0.5357,0.1716,2.8485,-2.3688,1.3802,-0.8022,0
0.3886,0.0522,0.1751,-0.196,1.1999,-0.9339,-0.5969,0.1708,2.9879,-2.3796,1.4743,-0.7677,0
0.3861,0.0547,0.1737,-0.1955,1.1999,-0.8956,-0.6479,0.1699,3.0915,-2.4116,1.5371,-0.7588,0
0.3837,0.0563,0.1721,-0.195,1.1999,-0.8633,-0.6928,0.1691,3.1739,-2.4556,1.5814,-0.7648,0
0.3815,0.0574,0.1704,-0.1946,1.1999,-0.8351,-0.7334,0.1682,3.2418,-2.5078,1.613,-0.7808,0
0.3794,0.0581,0.1686,-0.1943,1.1999,-0.81,-0.7708,0.1672,3.2986,-2.5659,1.6353,-0.8042,0
0.3773,0.0584,0.1667,-0.194,1.1999,-0.7874,-0.8056,0.1663,3.3467,-2.6284,1.65,-0.8334,0
0.3753,0.0585,0.1649,-0.1937,1.1999,-0.7668,-0.8382,0.1653,3.3878,-2.6944,1.6588,-0.8672,0
0.3734,0.0585,0.163,-0.1934,1.1995,-0.7464,-0.8701,0.1644,3.4258,-2.7614,1.6652,-0.9025,0
0.3714,0.0585,0.1611,-0.1932,1.1983,-0.725,-0.9022,0.1634,3.4628,-2.8281,1.671,-0.9379,0
0.3695,0.0584,0.1593,-0.1929,1.1963,-0.7026,-0.9343,0.1624,3.4989,-2.8946,1.6762,-0.9734,0
0.3676,0.0583,0.1575,-0.1926,1.1937,-0.6793,-0.9665,0.1614,3.534,-2.9608,1.6807,-1.0091,0
0.3658,0.0582,0.1556,-0.1923,1.1903,-0.6551,-0.9989,0.1604,3.568,-3.0268,1.6846,-1.045,0
0.3639,0.0581,0.1538,-0.192,1.1861,-0.6299,-1.0313,0.1593,3.6009,-3.0927,1.6877,-1.0811,0
0.3621,0.0579,0.152,-0.1917,1.1812,-0.6038,-1.0638,0.1583,3.6326,-3.1585,1.69,-1.1176,0
0.3603,0.0577,0.1502,-0.1914,1.1755,-0.5766,-1.0964,0.1573,3.663,-3.2243,1.6914,-1.1544,0
0.3586,0.0574,0.1485,-0.1911,1.1691,-0.5486,-1.1291,0.1563,3.6921,-3.2902,1.6918,-1.1917,0
0.3568,0.0571,0.1467,-0.1909,1.1619,-0.5196,-1.1619,0.1552,3.7196,-3.3562,1.6911,-1.2295,0
0.3551,0.0567,0.1449,-0.1906,1.154,-0.4896,-1.1948,0.1542,3.7455,-3.4225,1.6893,-1.268,0
0.3534,0.0563,0.1432,-0.1903,1.1454,-0.4588,-1.2277,0.1532,3.7696,-3.4891,1.686,-1.3072,0
0.3518,0.0558,0.1414,-0.1901,1.136,-0.4272,-1.2606,0.1521,3.7918,-3.5562,1.6813,-1.3474,0
0.3501,0.0553,0.1396,-0.1898,1.1259,-0.3949,-1.2935,0.1511,3.8117,-3.6239,1.6748,-1.3887,0
0.3485,0.0546,0.1379,-0.1896,1.1153,-0.362,-1.3262,0.1501,3.8293,-3.6923,1.6665,-1.4312,0
