0.485,0,0.25,0,0,0,0,0,0,0,0,0,0
0.4843,0.0002,0.2495,-0.0175,0.0059,-0.0024,-0.0096,0.0167,0.0176,-0.0188,0.0058,-0.0071,0
0.4895,-0.0022,0.2543,-0.1175,0.0117,-0.0048,-0.0192,0.1167,-0.1374,0.1389,-0.065,0.0665,0
0.4901,-0.0025,0.255,-0.1843,0.0171,-0.0072,-0.0285,0.1814,-0.1571,0.1611,-0.0749,0.079,0
0.4895,-0.0024,0.2545,-0.2056,0.0225,-0.0097,-0.0376,0.2018,-0.1448,0.144,-0.0724,0.0716,0
0.4886,-0.0022,0.2538,-0.2159,0.0278,-0.0121,-0.0468,0.2114,-0.1257,0.117,-0.0676,0.059,0
0.4876,-0.002,0.2529,-0.2219,0.0331,-0.0145,-0.0559,0.2169,-0.104,0.0862,-0.0621,0.0442,0
0.4865,-0.0018,0.252,-0.2257,0.0384,-0.0169,-0.0651,0.2202,-0.0812,0.0534,-0.0562,0.0284,0
0.4855,-0.0016,0.251,-0.2283,0.0437,-0.0193,-0.0742,0.2224,-0.0578,0.0196,-0.0501,0.012,0
0.4844,-0.0013,0.2501,-0.2302,0.0491,-0.0217,-0.0833,0.2239,-0.034,-0.0147,-0.044,-0.0048,0
0.4833,-0.0011,0.2491,-0.2315,0.0544,-0.0241,-0.0924,0.2248,-0.0101,-0.0495,-0.0378,-0.0218,0
0.4822,-0.0009,0.2481,-0.2326,0.0598,-0.0265,-0.1015,0.2255,0.0139,-0.0844,-0.0316,-0.0389,0
0.4789,0.0088,0.2499,-0.2312,0.1598,-0.1265,-0.0015,0.2259,0.3011,0.0268,0.2026,0.1253,0
0.4775,0.0103,0.2492,-0.2282,0.2321,-0.2265,0.0565,0.2228,0.3593,0.0092,0.2381,0.1304,0
0.4763,0.011,0.2483,-0.2264,0.2746,-0.3049,0.0858,0.2207,0.3972,-0.0191,0.2561,0.1221,0
0.4751,0.0115,0.2474,-0.2242,0.3072,-0.3634,0.1052,0.2182,0.4294,-0.0502,0.2693,0.1099,0
0.474,0.0119,0.2465,-0.2216,0.335,-0.4122,0.1196,0.2153,0.4592,-0.0821,0.2806,0.0965,0
0.4729,0.0123,0.2455,-0.2184,0.3599,-0.4548,0.1308,0.2116,0.4877,-0.1142,0.291,0.0826,0
0.4718,0.0127,0.2446,-0.2141,0.3826,-0.493,0.1397,0.207,0.5151,-0.146,0.3007,0.0684,0
0.4707,0.013,0.2437,-0.2081,0.4038,-0.5277,0.1468,0.2006,0.5414,-0.1772,0.3099,0.0543,0
0.4697,0.0133,0.2428,-0.1989,0.4237,-0.5598,0.1525,0.1909,0.5662,-0.2069,0.3187,0.0406,0
0.4689,0.0136,0.2421,-0.1829,0.4425,-0.5895,0.1569,0.1743,0.5885,-0.2333,0.327,0.0282,0
0.4684,0.0138,0.2415,-0.1467,0.4605,-0.6174,0.1604,0.1372,0.6035,-0.2503,0.3339,0.0193,0
0.4702,0.0135,0.2426,-0.0467,0.4778,-0.6437,0.1631,0.0372,0.5704,-0.2084,0.3305,0.0314,0
0.4614,0.0161,0.2367,-0.1467,0.4947,-0.6677,0.1639,0.1372,0.7712,-0.4202,0.3887,-0.0377,0
0.4592,0.0167,0.235,-0.208,0.5109,-0.691,0.1646,0.1993,0.8222,-0.4807,0.4034,-0.0619,0
0.4579,0.017,0.2339,-0.2186,0.5265,-0.7134,0.1652,0.2098,0.8522,-0.5193,0.4123,-0.0794,0
0.4567,0.0173,0.2329,-0.2228,0.5415,-0.7348,0.1652,0.2137,0.8794,-0.5549,0.4204,-0.0958,0
0.4555,0.0176,0.2319,-0.2249,0.5562,-0.7553,0.1647,0.2156,0.9057,-0.5896,0.4282,-0.1121,0
0.4544,0.0178,0.231,-0.2262,0.5704,-0.7749,0.1638,0.2165,0.9314,-0.6238,0.4358,-0.1281,0
0.4533,0.0181,0.23,-0.2269,0.5843,-0.7937,0.1625,0.217,0.9568,-0.6577,0.4432,-0.1442,0
0.4522,0.0183,0.229,-0.2274,0.5978,-0.8118,0.1608,0.2171,0.9818,-0.6915,0.4505,-0.1601,0
0.4511,0.0186,0.228,-0.2276,0.6111,-0.8291,0.1587,0.2171,1.0067,-0.725,0.4578,-0.1761,0
0.4501,0.0188,0.2271,-0.2278,0.6241,-0.8458,0.1562,0.2169,1.0314,-0.7585,0.4649,-0.192,0
0.449,0.019,0.2261,-0.2278,0.6368,-0.8619,0.1535,0.2167,1.056,-0.7919,0.472,-0.2079,0
0.4479,0.0193,0.2252,-0.2278,0.6492,-0.8774,0.1504,0.2163,1.0804,-0.8251,0.479,-0.2238,0
0.4468,0.0195,0.2242,-0.2277,0.6614,-0.8924,0.147,0.216,1.1046,-0.8583,0.486,-0.2397,0
0.4458,0.0197,0.2233,-0.2276,0.6734,-0.9068,0.1434,0.2156,1.1288,-0.8914,0.4928,-0.2555,0
0.4447,0.0199,0.2223,-0.2275,0.6851,-0.9208,0.1394,0.2151,1.1528,-0.9244,0.4997,-0.2713,0
0.4437,0.0201,0.2214,-0.2273,0.6967,-0.9342,0.1353,0.2147,1.1767,-0.9573,0.5065,-0.2871,0
0.4426,0.0203,0.2205,-0.2271,0.7081,-0.9472,0.1309,0.2142,1.2005,-0.9902,0.5132,-0.3029,0
0.4416,0.0205,0.2195,-0.2269,0.7192,-0.9598,0.1262,0.2137,1.2242,-1.0229,0.5199,-0.3186,0
0.4405,0.0207,0.2186,-0.2267,0.7302,-0.972,0.1214,0.2132,1.2478,-1.0556,0.5265,-0.3343,0
0.4395,0.0209,0.2176,-0.2265,0.741,-0.9837,0.1163,0.2127,1.2713,-1.0882,0.5331,-0.35,0
0.4384,0.0211,0.2167,-0.2263,0.7517,-0.9951,0.1111,0.2122,1.2947,-1.1207,0.5397,-0.3657,0
0.4374,0.0213,0.2158,-0.226,0.7622,-1.0061,0.1057,0.2117,1.318,-1.1532,0.5462,-0.3813,0
0.4364,0.0215,0.2149,-0.2258,0.7725,-1.0168,0.1001,0.2111,1.3413,-1.1855,0.5527,-0.397,0
0.4353,0.0217,0.2139,-0.2256,0.7827,-1.0271,0.0943,0.2106,1.3644,-1.2178,0.5591,-0.4125,0
0.4343,0.0219,0.213,-0.2253,0.7927,-1.037,0.0883,0.2101,1.3875,-1.2501,0.5655,-0.4281,0
0.4333,0.0221,0.2121,-0.225,0.8026,-1.0467,0.0822,0.2095,1.4105,-1.2822,0.5719,-0.4436,0
0.4322,0.0223,0.2112,-0.2248,0.8123,-1.056,0.076,0.209,1.4334,-1.3143,0.5782,-0.4591,0
0.4312,0.0225,0.2102,-0.2245,0.8219,-1.0651,0.0695,0.2084,1.4562,-1.3463,0.5845,-0.4746,0
0.4302,0.0227,0.2093,-0.2243,0.8313,-1.0738,0.063,0.2079,1.479,-1.3782,0.5908,-0.4901,0
0.4292,0.0228,0.2084,-0.224,0.8407,-1.0823,0.0563,0.2074,1.5016,-1.4101,0.5971,-0.5055,0
0.4282,0.023,0.2075,-0.2237,0.8499,-1.0905,0.0495,0.2068,1.5242,-1.4419,0.6033,-0.5209,0
0.4272,0.0232,0.2066,-0.2235,0.8589,-1.0984,0.0426,0.2063,1.5468,-1.4736,0.6095,-0.5363,0
0.4262,0.0234,0.2057,-0.2232,0.8679,-1.1061,0.0356,0.2057,1.5692,-1.5052,0.6156,-0.5516,0
0.4252,0.0235,0.2048,-0.2229,0.8767,-1.1135,0.0284,0.2052,1.5916,-1.5368,0.6217,-0.5669,0
0.4242,0.0237,0.2039,-0.2226,0.8854,-1.1206,0.0212,0.2046,1.6139,-1.5683,0.6278,-0.5822,0
0.4232,0.0239,0.203,-0.2224,0.8939,-1.1276,0.0138,0.2041,1.6362,-1.5997,0.6339,-0.5975,0
0.4222,0.024,0.2021,-0.2221,0.9024,-1.1343,0.0064,0.2036,1.6583,-1.6311,0.64,-0.6127,0
0.4212,0.0242,0.2012,-0.2218,0.9107,-1.1408,-0.0011,0.203,1.6805,-1.6624,0.646,-0.6279,0
0.4202,0.0244,0.2003,-0.2215,0.9189,-1.147,-0.0088,0.2025,1.7025,-1.6936,0.652,-0.6431,0
